date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:09	211582/211582	---MCZ	200	added ('OK')	application/javascript	etag:%2233a7e-59924e050b350-gzip%22	https://lyst-club.no/assets/lib/carousel3d/js/mdb.min.js	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/js/mdb.min.js	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:10	1065/1065	---M-Z	200	added ('OK')	application/javascript	etag:%22429-59924e050652f-gzip%22	https://lyst-club.no/assets/lib/carousel3d/js/addons/mdb-carousel-3d.min.js	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/js/addons/mdb-carousel-3d.min.js	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:11	211/211	---M--	200	added ('OK')	image/png	etag:%22d3-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/01.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/01.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:11	213/213	---M--	200	added ('OK')	image/png	etag:%22d5-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/02.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/02.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:12	466907/466907	---M--	200	added ('OK')	image/jpeg	etag:%225da9c7cd-71fdb%22	https://mdbootstrap.com/img/Photos/Slides/img%20(52).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(52).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:12	209/209	---M--	200	added ('OK')	image/png	etag:%22d1-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/03.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/03.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:13	211/211	---M--	200	added ('OK')	image/png	etag:%22d3-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/04.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/04.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:14	213/213	---M--	200	added ('OK')	image/png	etag:%22d5-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/05.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/05.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:15	211/211	---M--	200	added ('OK')	image/png	etag:%22d3-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/06.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/06.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:16	215/215	---M--	200	added ('OK')	image/png	etag:%22d7-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/07.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/07.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:17	146/146	---M--	200	added ('OK')	image/png	etag:%2292-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/08.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/08.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
16:45:17	137/137	---M--	200	added ('OK')	image/png	etag:%2289-59924e050558f%22	https://lyst-club.no/assets/lib/carousel3d/img/overlays/09.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/img/overlays/09.png	(from https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css)
